caller	dependency	activation_id
positron	positron-runtime	-
positron	positron-governance	-
positron	positron-ingest	-
positron	positron-query	-
positron	positron-backup	-
positron	positron-upgrade	-
positron	positron-diagnostics	-
positron	positron-operator	-
positron	positron-release	-
positron-runtime	positron-api	M0-03
positron-runtime	positron-config	M0-01
positron-runtime	positron-domain	M0-02
positron-runtime	positron-governance	-
positron-runtime	positron-kernel	-
positron-kernel	positron-domain	M0-02
positron-signals	positron-kernel	-
positron-signals	positron-domain	M0-02
positron-governance	positron-kernel	-
positron-governance	positron-domain	M0-02
positron-ingest	positron-signals	-
positron-ingest	positron-kernel	-
positron-ingest	positron-domain	M0-02
positron-query	positron-signals	-
positron-query	positron-kernel	-
positron-query	positron-domain	M0-02
positron-backup	positron-governance	-
positron-backup	positron-kernel	-
positron-backup	positron-domain	M0-02
positron-upgrade	positron-governance	-
positron-upgrade	positron-kernel	-
positron-upgrade	positron-backup	-
positron-upgrade	positron-release	-
positron-diagnostics	positron-runtime	-
positron-diagnostics	positron-governance	-
positron-diagnostics	positron-kernel	-
positron-operator	positron-api	M0-03
