target_id	kind	gate_id	stages	owner	identity	diagnostic	timeout_seconds
rust-host-1	compile	EG-MATRIX	PR|EXT	Quality Engineering	rust-2024-host-v1	diagnostic-only	30
api-contract-1	contract	EG-MATRIX	PR|EXT	Quality Engineering	canonical-api-v1	diagnostic-only	30
otlp-protocol-1	protocol	EG-MATRIX	PR|EXT	Quality Engineering	otlp-grpc-v1	diagnostic-only	30
producer-fixture-1	producer	EG-MATRIX	PR|EXT	Quality Engineering	producer-fixture-v1	diagnostic-only	30
provider-fixture-1	provider	EG-MATRIX	PR|EXT	Quality Engineering	provider-fixture-v1	diagnostic-only	30
macos-host-1	platform	EG-MATRIX	PR|EXT	Quality Engineering	macos-host-v1	diagnostic-only	30
crate-graph-1	architecture	EG-MATRIX	PR|EXT	Quality Engineering	architecture-edges-v1	diagnostic-only	30
local-fs-1	filesystem	EG-MATRIX	PR|EXT	Quality Engineering	local-filesystem-v1	diagnostic-only	30
storage-class-1	storage-class	EG-MATRIX	PR|EXT	Quality Engineering	storage-class-fixture-v1	diagnostic-only	30
sdk-registry-1	registry	EG-MATRIX	PR|EXT	Quality Engineering	sdk-registry-fixture-v1	diagnostic-only	30
native-archive-1	distribution	EG-MATRIX	PR|EXT	Quality Engineering	native-archive-fixture-v1	diagnostic-only	30
generated-sdk-1	sdk	EG-MATRIX	PR|EXT	Quality Engineering	generated-sdk-fixture-v1	diagnostic-only	30
old-new-api-1	compatibility	EG-MATRIX	PR|EXT	Quality Engineering	old-new-api-fixture-v1	diagnostic-only	30
evidence-schema-1	evidence	EG-MATRIX	PR|EXT	Quality Engineering	evidence-schema-v3	diagnostic-only	30
