invariant_id	gate_id	accountable_owner
ARC-01	EG-ARCH	Architecture
ARC-02	EG-ARCH	Architecture
ARC-03	EG-ARCH	Architecture
ARC-04	EG-ARCH	Module owner
ARC-05	EG-CORRECT	Architecture
RUST-01	EG-RUST	Rust and Toolchain
RUST-02	EG-BUILD	Rust and Toolchain
RUST-03	EG-RUST	Rust and Toolchain
RUST-04	EG-DEPS	Rust and Toolchain
SAFE-01	EG-SAFETY	Security and Key Management
SAFE-02	EG-SAFETY	Security and Key Management
SAFE-03	EG-SAFETY	Module owner
SAFE-04	EG-INTEGRITY	Security and Key Management
CON-01	EG-CONCURRENCY	Application Runtime
CON-02	EG-RESOURCE	Storage Kernel
CON-03	EG-CONCURRENCY	Module owner
CON-04	EG-CONCURRENCY	Rust and Toolchain
CON-05	EG-CONCURRENCY	Application Runtime
ERR-01	EG-ERROR	Public API and SDK
ERR-02	EG-ERROR	Rust and Toolchain
ERR-03	EG-ERROR	Module owner
ERR-04	EG-ERROR	Public API and SDK
SEC-01	EG-SECURITY	Security and Key Management
SEC-02	EG-SECURITY	Identity and Governance
SEC-03	EG-CRYPTO	Security and Key Management
SEC-04	EG-SECRETS	Security and Key Management
SEC-05	EG-SUPPLY	Release Engineering
DOC-01	EG-DOCS	Module owner
DOC-02	EG-DOCS	Public API and SDK
DOC-03	EG-POLICY	Architecture
DOC-04	EG-DOCS	Diagnostics and Operations
TEST-01	EG-TEST	Quality Engineering
TEST-02	EG-TEST	Quality Engineering
TEST-03	EG-MATRIX	Quality Engineering
TEST-04	EG-DYNAMIC	Quality Engineering
TEST-05	EG-FAULT	Quality Engineering
TEST-06	EG-COVERAGE	Quality Engineering
TEST-07	EG-EVIDENCE	Release Engineering
PERF-01	EG-RESOURCE	Performance Qualification
PERF-02	EG-PERF	Performance Qualification
PERF-03	EG-PERF	Performance Qualification
PERF-04	EG-SOAK	Performance Qualification
