threshold_id	state	value	unit	scope	rationale	evidence
coverage-line	measured-baseline	70.52266534555362	percent	m0-01-foundational-policy	Final M0-01 total line coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0002-m0-01-foundational-scope-activation.json
coverage-region	measured-baseline	69.9540018399264	percent	m0-01-foundational-policy	Final M0-01 total region coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0002-m0-01-foundational-scope-activation.json
coverage-branch	measured-baseline	57.622739018087856	percent	m0-01-foundational-policy	Final M0-01 total branch coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0002-m0-01-foundational-scope-activation.json
coverage-changed-code	measured-baseline	65.97888675623801	percent	m0-01-foundational-policy	Final M0-01 registry-policy changed-code line coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0002-m0-01-foundational-scope-activation.json
mutation-score	measured-baseline	100	percent	m0-01-foundational-policy	Historical M0-01 diagnostic retained for provenance; mutation is no longer a routine blocking campaign	qualification/engineering/policy-changes/PC-0002-m0-01-foundational-scope-activation.json
domain-coverage-line	measured-baseline	98.21882951653944	percent	m0-02-domain-types	Final M0-02 handwritten Domain Types line coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0007-m0-02-domain-types.json
domain-coverage-region	measured-baseline	98.24561403508771	percent	m0-02-domain-types	Final M0-02 handwritten Domain Types region coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0007-m0-02-domain-types.json
domain-coverage-branch	measured-baseline	100	percent	m0-02-domain-types	Final M0-02 handwritten Domain Types branch coverage from the retained branch-coverage report	qualification/engineering/policy-changes/PC-0007-m0-02-domain-types.json
domain-mutation-score	measured-baseline	100	percent	m0-02-domain-types	Focused M0-02 invariant mutation disposition found no invariant-breaking viable survivor; semantic equivalents and tool-unviable mutants remain retained in PC-0007	qualification/engineering/policy-changes/PC-0007-m0-02-domain-types.json
performance-objectives	pending-preregistration	-	digest	release-candidate	Requires the accepted reference hardware and workload preregistration	-
soak-duration	pending-preregistration	-	seconds	release-candidate	Requires the accepted reference profiles and fault schedule	-
